pipeline,question,gold_answers,prediction,em,f1,retrieval_hit,retrieval_latency_sec,generation_latency_sec,total_latency_sec,retrieved_chunk_ids,retrieved_scores,dataset
sparse,What answer denotes that an algorithm has accepted an input string?,['yes'],yes,1.0,1.0,1,0.002333700000008321,0.6079921000000468,0.6103258000000551,"[274, 271, 298]","[1.0, 0.5188164430350778, 0.5084564180305458]",squad
hybrid,What answer denotes that an algorithm has accepted an input string?,['yes'],yes,1.0,1.0,1,0.009437900000193622,0.5711704999998801,0.5806084000000737,"[274, 271, 275]","[0.03278688524590164, 0.03225806451612903, 0.030117753623188408]",squad
dense,What date did Tesla begin his Colorado Springs experiments?,['15 June 1899'],15 june 1899,1.0,1.0,1,0.007910000000038053,0.46393590000002405,0.4718459000000621,"[212, 219, 236]","[0.7367688417434692, 0.6712385416030884, 0.6203804016113281]",squad
sparse,What date did Tesla begin his Colorado Springs experiments?,['15 June 1899'],15 june 1899,1.0,1.0,1,0.0013721000000259664,0.48519119999991744,0.4865632999999434,"[212, 218, 172]","[1.0, 0.9290879065262333, 0.7274291113303641]",squad
hybrid,What date did Tesla begin his Colorado Springs experiments?,['15 June 1899'],15 june 1899,1.0,1.0,1,0.008964800000057949,0.5384433000001536,0.5474081000002116,"[212, 219, 172]","[0.03278688524590164, 0.031754032258064516, 0.03149801587301587]",squad
dense,When was the Edict of Worms presented?,['25 May 1521'],25 may 1521,1.0,1.0,1,0.008835599999883925,0.4926700000000892,0.5015055999999731,"[415, 411, 477]","[0.6297224760055542, 0.6099165081977844, 0.33205872774124146]",squad
sparse,When was the Edict of Worms presented?,['25 May 1521'],25 may 1521,1.0,1.0,1,0.0023699999999280408,0.5369908000000123,0.5393607999999404,"[415, 608, 411]","[1.0, 0.7636024359754447, 0.693709362948085]",squad
hybrid,When was the Edict of Worms presented?,['25 May 1521'],25 may 1521,1.0,1.0,1,0.0081967999999506,0.538340099999914,0.5465368999998645,"[415, 411, 608]","[0.03278688524590164, 0.03200204813108039, 0.031054405392392875]",squad
dense,What modern city is located on the original Huguenot colony?,['Cape Town'],cape town,1.0,1.0,1,0.011005299999851559,0.8487248999999792,0.8597301999998308,"[602, 620, 592]","[0.6510274410247803, 0.5972459316253662, 0.5643879175186157]",squad
sparse,What modern city is located on the original Huguenot colony?,['Cape Town'],new york city,0.0,0.0,0,0.0021811999999954423,0.824546699999928,0.8267278999999235,"[634, 620, 86]","[1.0, 0.9269771509415893, 0.7899455743052617]",squad
hybrid,What modern city is located on the original Huguenot colony?,['Cape Town'],jacksonville,0.0,0.0,0,0.012625699999944118,0.7376248000000487,0.7502504999999928,"[620, 634, 618]","[0.03225806451612903, 0.030886196246139225, 0.030090497737556562]",squad
dense,How old was Manning when he played Super Bowl 50?,"['39.', '39']",39,1.0,1.0,1,0.007711700000072597,0.505384499999991,0.5130962000000636,"[22, 23, 61]","[0.7434148788452148, 0.6644468307495117, 0.6613591313362122]",squad
sparse,How old was Manning when he played Super Bowl 50?,"['39.', '39']",39,1.0,1.0,1,0.0016975000000911677,0.7649356999997963,0.7666331999998874,"[60, 0, 61]","[1.0, 0.9645024908546073, 0.9186618530620849]",squad
hybrid,How old was Manning when he played Super Bowl 50?,"['39.', '39']",39,1.0,1.0,1,0.010405499999933454,0.6291934000000765,0.63959890000001,"[60, 61, 22]","[0.03177805800756621, 0.031746031746031744, 0.031544957774465976]",squad
dense,Who married the wedding couple?,"['Johannes Bugenhagen', 'Bugenhagen']",bugenhagen,1.0,1.0,1,0.006501999999954933,0.5773770000000695,0.5838790000000245,"[429, 430, 428]","[0.5792884826660156, 0.4027963876724243, 0.36893346905708313]",squad
sparse,Who married the wedding couple?,"['Johannes Bugenhagen', 'Bugenhagen']",bugenhagen,1.0,1.0,1,0.00139179999996486,0.5824996999999712,0.5838914999999361,"[429, 431, 156]","[1.0, 0.6350893920321974, 0.5621249763825857]",squad
hybrid,Who married the wedding couple?,"['Johannes Bugenhagen', 'Bugenhagen']",bugenhagen,1.0,1.0,1,0.008507000000008702,0.6814865999999711,0.6899935999999798,"[429, 430, 431]","[0.03278688524590164, 0.031754032258064516, 0.0315136476426799]",squad
dense,"Besides cultural events, what other tourist attraction does Victoria have?","['sports', 'sports tourism']",sports tourism,1.0,1.0,1,0.011360200000126497,0.766481899999917,0.7778421000000435,"[586, 566, 573]","[0.673480749130249, 0.48327696323394775, 0.4275946319103241]",squad
sparse,"Besides cultural events, what other tourist attraction does Victoria have?","['sports', 'sports tourism']",sports tourism,1.0,1.0,1,0.001746099999991202,0.5985909000000902,0.6003370000000814,"[586, 73, 581]","[1.0, 0.9002368105725252, 0.6631399462867391]",squad
hybrid,"Besides cultural events, what other tourist attraction does Victoria have?","['sports', 'sports tourism']",sports tourism,1.0,1.0,1,0.014155299999856652,0.6256255999999212,0.6397808999997778,"[586, 566, 73]","[0.03278688524590164, 0.016129032258064516, 0.016129032258064516]",squad
dense,What was used to sod the Levi's Stadium for Super Bowl 50? ,"['hybrid Bermuda 419 turf', 'Bermuda 419 turf', 'hybrid Bermuda 419']",$ 1. 2 billion,0.0,0.0,0,0.009491399999888017,0.4635062999998354,0.4729976999997234,"[7, 0, 5]","[0.7124362587928772, 0.6360479593276978, 0.6344059705734253]",squad
sparse,What was used to sod the Levi's Stadium for Super Bowl 50? ,"['hybrid Bermuda 419 turf', 'Bermuda 419 turf', 'hybrid Bermuda 419']",$ 1. 2 billion,0.0,0.0,0,0.002288200000066354,0.573550300000079,0.5758385000001454,"[0, 7, 6]","[1.0, 0.9854482017849614, 0.9179078994473198]",squad
hybrid,What was used to sod the Levi's Stadium for Super Bowl 50? ,"['hybrid Bermuda 419 turf', 'Bermuda 419 turf', 'hybrid Bermuda 419']",$ 1. 2 billion,0.0,0.0,0,0.011193899999852874,0.4558241999998245,0.46701809999967736,"[7, 0, 5]","[0.03252247488101534, 0.03252247488101534, 0.03149801587301587]",squad
dense,What year did BSkyB and Virgin Media have a dispute over the carriage of Sky Channels on cable TV?,['2007'],2007,1.0,1.0,1,0.010728700000072422,0.7560773999998673,0.7668060999999398,"[542, 544, 539]","[0.8349701166152954, 0.6961488723754883, 0.673976480960846]",squad
sparse,What year did BSkyB and Virgin Media have a dispute over the carriage of Sky Channels on cable TV?,['2007'],2007,1.0,1.0,1,0.003552899999931469,0.5598391000000902,0.5633920000000217,"[542, 560, 557]","[1.0, 0.528636466041242, 0.5166176518518498]",squad
hybrid,What year did BSkyB and Virgin Media have a dispute over the carriage of Sky Channels on cable TV?,['2007'],2007,1.0,1.0,1,0.011024900000165871,0.5369349999998576,0.5479599000000235,"[542, 556, 560]","[0.03278688524590164, 0.031009615384615385, 0.030834914611005692]",squad
dense,What did Tesla explore in Tominaj?,"['the mountains', 'mountains']",wireless lighting and electricity distribution,0.0,0.0,1,0.006935999999996056,0.4348606999999447,0.44179669999994076,"[178, 172, 233]","[0.6641427278518677, 0.5824810266494751, 0.5727197527885437]",squad
sparse,What did Tesla explore in Tominaj?,"['the mountains', 'mountains']",all fundamental laws could be reduced to one,0.0,0.0,0,0.0012494000000060623,0.369417999999996,0.3706674000000021,"[246, 230, 183]","[1.0, 0.9313757652883834, 0.7919510037962382]",squad
hybrid,What did Tesla explore in Tominaj?,"['the mountains', 'mountains']",the mountains,1.0,1.0,1,0.011144900000090274,0.41874350000011873,0.429888400000209,"[262, 178, 246]","[0.02964426877470356, 0.01639344262295082, 0.01639344262295082]",squad
dense,What color jersey has Denver 0-4?,['orange'],orange,1.0,1.0,1,0.00853570000003856,0.6203612000001613,0.6288969000001998,"[26, 27, 51]","[0.5501971244812012, 0.5122783780097961, 0.44822272658348083]",squad
sparse,What color jersey has Denver 0-4?,['orange'],orange,1.0,1.0,1,0.0015694999999595893,0.824073799999951,0.8256432999999106,"[26, 45, 516]","[1.0, 0.8404884816236629, 0.8314869240606871]",squad
hybrid,What color jersey has Denver 0-4?,['orange'],orange,1.0,1.0,1,0.012316999999939071,0.8911436999999296,0.9034606999998687,"[26, 51, 45]","[0.03278688524590164, 0.03125763125763126, 0.030834914611005692]",squad
dense,What is the name of the program that provides contracting work to local companies?,['Business Connect'],cbd,0.0,0.0,0,0.00960480000003372,0.33819229999994604,0.34779709999997976,"[374, 524, 576]","[0.24686767160892487, 0.23088781535625458, 0.22769372165203094]",squad
sparse,What is the name of the program that provides contracting work to local companies?,['Business Connect'],business connect,1.0,1.0,1,0.002621999999973923,0.8686422000000675,0.8712642000000415,"[34, 469, 310]","[1.0, 0.5346492599645158, 0.526589712589071]",squad
hybrid,What is the name of the program that provides contracting work to local companies?,['Business Connect'],business connect,1.0,1.0,1,0.010332800000014686,0.2965490999999929,0.3068819000000076,"[374, 34, 524]","[0.01639344262295082, 0.01639344262295082, 0.016129032258064516]",squad
dense,What is another name for the Tabula Rogeriana?,['Kitab Rudjdjar'],kitab rudjdjar,1.0,1.0,1,0.01196909999998752,0.7113967999998749,0.7233658999998624,"[131, 102, 610]","[0.4985352158546448, 0.27542999386787415, 0.25997012853622437]",squad
sparse,What is another name for the Tabula Rogeriana?,['Kitab Rudjdjar'],kitab rudjdjar,1.0,1.0,1,0.001856999999972686,0.7299396000000797,0.7317966000000524,"[131, 283, 86]","[1.0, 0.7582025605103098, 0.6819314109448569]",squad
hybrid,What is another name for the Tabula Rogeriana?,['Kitab Rudjdjar'],kitab rudjdjar,1.0,1.0,1,0.01030839999998534,0.4950169999999616,0.505325399999947,"[131, 102, 283]","[0.03278688524590164, 0.016129032258064516, 0.016129032258064516]",squad
dense,What devices have been credited as the moving force of the Industrial Revolution?,['Steam engines'],steam engines,1.0,1.0,1,0.00950250000005326,0.46918799999980365,0.4786904999998569,"[662, 650, 195]","[0.5807110667228699, 0.4606251120567322, 0.4426053762435913]",squad
sparse,What devices have been credited as the moving force of the Industrial Revolution?,['Steam engines'],steam engines,1.0,1.0,1,0.0021088000000872853,0.49327420000008715,0.49538300000017443,"[662, 165, 650]","[1.0, 0.5568502093936498, 0.5297255810482971]",squad
hybrid,What devices have been credited as the moving force of the Industrial Revolution?,['Steam engines'],steam engines,1.0,1.0,1,0.011202700000012555,0.4833455000000413,0.49454820000005384,"[662, 650, 165]","[0.03278688524590164, 0.03200204813108039, 0.016129032258064516]",squad
dense,When did Tesla attain his electrical transmitter patent?,['1900'],1900,1.0,1.0,1,0.010298400000010588,0.6396985999999742,0.6499969999999848,"[172, 211, 209]","[0.7175320386886597, 0.7048707008361816, 0.6939364671707153]",squad
sparse,When did Tesla attain his electrical transmitter patent?,['1900'],1900,1.0,1.0,1,0.0014525999999932537,0.7276197000001048,0.729072300000098,"[211, 191, 171]","[1.0, 0.7853655150545088, 0.7089009985377186]",squad
hybrid,When did Tesla attain his electrical transmitter patent?,['1900'],1900,1.0,1.0,1,0.008777800000189018,0.7021156000000701,0.7108934000002591,"[211, 171, 172]","[0.03252247488101534, 0.03149801587301587, 0.01639344262295082]",squad
dense,How many Victorians are non-religious?,['20%'],"168, 637",0.0,0.0,1,0.007469199999832199,0.5619999999998981,0.5694691999997303,"[565, 601, 579]","[0.7519269585609436, 0.38742369413375854, 0.3736562728881836]",squad
sparse,How many Victorians are non-religious?,['20%'],"168, 637",0.0,0.0,1,0.0014120000000730215,0.5713399999999638,0.5727520000000368,"[565, 284, 607]","[1.0, 0.8047929296206795, 0.5064457268285019]",squad
hybrid,How many Victorians are non-religious?,['20%'],"168, 637",0.0,0.0,1,0.00857070000006388,0.5037688999998409,0.5123395999999047,"[565, 601, 284]","[0.03278688524590164, 0.016129032258064516, 0.016129032258064516]",squad
dense,What was the focus of Luther's last sermon?,"['Jews', 'entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,']",the obdurate jews,0.0,0.6666666666666666,1,0.00820449999991979,0.6571753999999146,0.6653798999998344,"[489, 405, 402]","[0.6677262783050537, 0.6660425066947937, 0.6425967812538147]",squad
sparse,What was the focus of Luther's last sermon?,"['Jews', 'entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,']",nazi antisemitism,0.0,0.0,1,0.001991200000020399,0.529301900000064,0.5312931000000845,"[422, 468, 483]","[1.0, 0.7602300344370619, 0.7517547025080864]",squad
hybrid,What was the focus of Luther's last sermon?,"['Jews', 'entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,']",the obdurate jews,0.0,0.6666666666666666,1,0.0096109000000979,0.44613729999991847,0.45574820000001637,"[489, 493, 422]","[0.03177805800756621, 0.030330882352941176, 0.01639344262295082]",squad
dense,How much older was Manning than Newton during Super Bowl 50?,"['13 years and 48 days', '13 years']",39,0.0,0.0,1,0.009510800000043673,0.5223071000000346,0.5318179000000782,"[23, 22, 61]","[0.7305846214294434, 0.7103631496429443, 0.6974081993103027]",squad
sparse,How much older was Manning than Newton during Super Bowl 50?,"['13 years and 48 days', '13 years']",39,0.0,0.0,1,0.002556000000140557,0.7013296000000082,0.7038856000001488,"[23, 60, 61]","[1.0, 0.964615259687305, 0.9368290652757035]",squad
hybrid,How much older was Manning than Newton during Super Bowl 50?,"['13 years and 48 days', '13 years']",39,0.0,0.0,1,0.009084100000109174,0.650671599999896,0.6597557000000052,"[23, 60, 61]","[0.03278688524590164, 0.031754032258064516, 0.031746031746031744]",squad
dense,How many times did the Denver defense force Newton into turnovers?,['three'],three,1.0,1.0,1,0.0096984000001612,0.738277799999878,0.7479762000000392,"[57, 2, 55]","[0.6310479640960693, 0.6161748170852661, 0.5649389624595642]",squad
sparse,How many times did the Denver defense force Newton into turnovers?,['three'],three,1.0,1.0,1,0.0015748000000712636,0.7950757000000976,0.7966505000001689,"[2, 55, 57]","[1.0, 0.5172290335419372, 0.4715195426324348]",squad
hybrid,How many times did the Denver defense force Newton into turnovers?,['three'],three,1.0,1.0,1,0.010043400000085967,0.7005161999998109,0.7105595999998968,"[2, 57, 55]","[0.03252247488101534, 0.032266458495966696, 0.03200204813108039]",squad
dense,Why aren't the examples of bouregois architecture visible today?,"['not restored by the communist authorities', 'were not restored', 'not restored by the communist authorities after the war']",exceptional examples of the bourgeois architecture of the later periods were not restored by the communist authorities,0.0,0.5263157894736842,1,0.013775800000075833,0.8813940000000002,0.8951698000000761,"[103, 101, 105]","[0.3179570138454437, 0.3131899833679199, 0.2943763732910156]",squad
sparse,Why aren't the examples of bouregois architecture visible today?,"['not restored by the communist authorities', 'were not restored', 'not restored by the communist authorities after the war']",exceptional examples of the bourgeois architecture of the later periods were not restored by the communist authorities,0.0,0.5263157894736842,1,0.0016218999999182415,0.844402700000046,0.8460245999999643,"[103, 101, 105]","[1.0, 0.9012689012540278, 0.7888040600018649]",squad
hybrid,Why aren't the examples of bouregois architecture visible today?,"['not restored by the communist authorities', 'were not restored', 'not restored by the communist authorities after the war']",exceptional examples of the bourgeois architecture of the later periods were not restored by the communist authorities,0.0,0.5263157894736842,1,0.011497799999915514,0.9119914000000335,0.923489199999949,"[103, 101, 105]","[0.03278688524590164, 0.03225806451612903, 0.031746031746031744]",squad
dense,What is an abbreviation for the Church of Jesus Christ of Latter-day Saints?,['LDS Church'],jesus christ of latter - day saints ( lds church,0.0,0.4,1,0.014338899999984278,0.5023628999999801,0.5167017999999644,"[379, 378, 441]","[0.5441056489944458, 0.4161030650138855, 0.3663708567619324]",squad
sparse,What is an abbreviation for the Church of Jesus Christ of Latter-day Saints?,['LDS Church'],jesus christ of latter - day saints ( lds church,0.0,0.4,1,0.0023272999999335298,0.6107113999999001,0.6130386999998336,"[378, 379, 495]","[1.0, 0.7500601070331256, 0.682834949654905]",squad
hybrid,What is an abbreviation for the Church of Jesus Christ of Latter-day Saints?,['LDS Church'],jesus christ of latter - day saints ( lds church,0.0,0.4,1,0.01238510000007409,0.5069292999999107,0.5193143999999847,"[379, 378, 441]","[0.03252247488101534, 0.03252247488101534, 0.015873015873015872]",squad
dense,What did Luther call  the consecrated bread and wine?,['sacramental union'],"idolatry the idea that the mass is a sacrifice, asserting instead that it is a gift",0.0,0.0,0,0.009798600000067381,0.6831322000000455,0.6929308000001129,"[435, 405, 418]","[0.6085812449455261, 0.5617856979370117, 0.5593516826629639]",squad
sparse,What did Luther call  the consecrated bread and wine?,['sacramental union'],sacramental union,1.0,1.0,1,0.0021225000000413274,1.1817481999999018,1.183870699999943,"[459, 435, 402]","[1.0, 0.8761599757197883, 0.6484711116313298]",squad
hybrid,What did Luther call  the consecrated bread and wine?,['sacramental union'],sacramental union,1.0,1.0,1,0.011375199999974939,0.8146421000001283,0.8260173000001032,"[435, 459, 405]","[0.03252247488101534, 0.01639344262295082, 0.016129032258064516]",squad
dense,What party rules in Melbourne's inner regions?,"['The Greens', 'Australian Greens', 'Greens']",greens,1.0,1.0,1,0.011982299999999668,0.6210634999999911,0.6330457999999908,"[564, 586, 566]","[0.561842143535614, 0.43039941787719727, 0.4103947877883911]",squad
sparse,What party rules in Melbourne's inner regions?,"['The Greens', 'Australian Greens', 'Greens']",greens,1.0,1.0,1,0.0022728000001279725,0.8414336000000731,0.843706400000201,"[564, 561, 567]","[1.0, 0.5429106373782979, 0.5086111042034738]",squad
hybrid,What party rules in Melbourne's inner regions?,"['The Greens', 'Australian Greens', 'Greens']",greens,1.0,1.0,1,0.009904000000005908,0.7873841000000539,0.7972881000000598,"[564, 567, 561]","[0.03278688524590164, 0.03125763125763126, 0.030834914611005692]",squad
dense,What is the Royal Castle the most interesting example of?,"['mannerist architecture', 'mannerist']",mannerist architecture,1.0,1.0,1,0.010113799999999173,0.7402745000001687,0.7503883000001679,"[101, 85, 161]","[0.4708719849586487, 0.389572411775589, 0.3292953073978424]",squad
sparse,What is the Royal Castle the most interesting example of?,"['mannerist architecture', 'mannerist']",mannerist architecture,1.0,1.0,1,0.0025041999999757536,0.7565260000001217,0.7590302000000975,"[101, 85, 76]","[1.0, 0.7192670432909649, 0.5860182420673046]",squad
hybrid,What is the Royal Castle the most interesting example of?,"['mannerist architecture', 'mannerist']",mannerist architecture,1.0,1.0,1,0.009420000000091022,0.7335631000000831,0.7429831000001741,"[101, 85, 74]","[0.03278688524590164, 0.03225806451612903, 0.030309988518943745]",squad
dense,In what century did important classical music developments occur in Normandy?,"['11th', 'the 11th']",11th,1.0,1.0,1,0.010419100000035542,0.5687158999999156,0.5791349999999511,"[168, 164, 163]","[0.5702126026153564, 0.493293434381485, 0.48962098360061646]",squad
sparse,In what century did important classical music developments occur in Normandy?,"['11th', 'the 11th']",11th,1.0,1.0,1,0.0029449000001022796,0.696258399999806,0.6992032999999083,"[168, 163, 586]","[1.0, 0.5348929277107929, 0.48623032660139526]",squad
hybrid,In what century did important classical music developments occur in Normandy?,"['11th', 'the 11th']",11th,1.0,1.0,1,0.012775899999951434,0.5651746999999432,0.5779505999998946,"[168, 163, 164]","[0.03278688524590164, 0.03200204813108039, 0.016129032258064516]",squad
dense,What is the steam engine's thermodynamic basis?,"['Rankine cycle', 'The Rankine cycle']",the rankine cycle,1.0,1.0,1,0.01132410000013806,0.589119700000083,0.600443800000221,"[641, 654, 666]","[0.6726005673408508, 0.5816055536270142, 0.5339543223381042]",squad
sparse,What is the steam engine's thermodynamic basis?,"['Rankine cycle', 'The Rankine cycle']",the rankine cycle,1.0,1.0,1,0.0016724999998132262,0.6298241999998027,0.6314966999996159,"[666, 655, 641]","[1.0, 0.8607762865310254, 0.8526067904412153]",squad
hybrid,What is the steam engine's thermodynamic basis?,"['Rankine cycle', 'The Rankine cycle']",the rankine cycle,1.0,1.0,1,0.012122699999963515,0.5441336999999749,0.5562563999999384,"[641, 666, 655]","[0.032266458495966696, 0.032266458495966696, 0.03128054740957967]",squad
dense,When die Tesla turn his attention to trying to understand invisible radiant energy?,['1894'],1894,1.0,1.0,1,0.011418900000080612,0.5400681999999506,0.5514871000000312,"[202, 250, 236]","[0.612094521522522, 0.5870208740234375, 0.5685015320777893]",squad
sparse,When die Tesla turn his attention to trying to understand invisible radiant energy?,['1894'],1894,1.0,1.0,1,0.00246089999996002,0.8550784999999905,0.8575393999999505,"[202, 211, 191]","[1.0, 0.7710558109902924, 0.6277836117906492]",squad
hybrid,When die Tesla turn his attention to trying to understand invisible radiant energy?,['1894'],1894,1.0,1.0,1,0.009009399999968082,0.715101900000036,0.7241113000000041,"[202, 250, 211]","[0.03278688524590164, 0.016129032258064516, 0.016129032258064516]",squad
dense,Which player recovered possession of the ball in the end zone?,"['Malik Jackson', 'Jackson']",ward,0.0,0.0,0,0.007624800000030518,0.77202740000007,0.7796522000001005,"[57, 54, 51]","[0.505446195602417, 0.4905681908130646, 0.4530180096626282]",squad
sparse,Which player recovered possession of the ball in the end zone?,"['Malik Jackson', 'Jackson']",malik jackson,1.0,1.0,1,0.001978399999870817,0.7992639999999938,0.8012423999998646,"[54, 52, 57]","[1.0, 0.903317811130185, 0.7727460309482308]",squad
hybrid,Which player recovered possession of the ball in the end zone?,"['Malik Jackson', 'Jackson']",malik jackson,1.0,1.0,1,0.009474899999986519,0.7885183000000779,0.7979932000000645,"[54, 57, 52]","[0.03252247488101534, 0.032266458495966696, 0.0315136476426799]",squad
dense,Where did he live while he was looking good?,['New York City'],tomingaj,0.0,0.0,0,0.008308899999974528,0.4294317000001229,0.4377406000000974,"[178, 404, 492]","[0.3212595582008362, 0.3038845956325531, 0.2942439913749695]",squad
sparse,Where did he live while he was looking good?,['New York City'],gospic for prague,0.0,0.0,0,0.0016806999999516847,0.5464554000000135,0.5481360999999652,"[183, 417, 467]","[1.0, 0.9418652188063247, 0.9276403245835588]",squad
hybrid,Where did he live while he was looking good?,['New York City'],gospic for prague,0.0,0.0,0,0.01219279999986611,0.4146897999999055,0.42688259999977163,"[178, 183, 404]","[0.01639344262295082, 0.01639344262295082, 0.016129032258064516]",squad
dense,What was the domain name of the site that streamed the Super Bowl 50 game? ,['CBSSports.com'],cbs,0.0,0.0,0,0.01318859999992128,0.662081599999965,0.6752701999998862,"[0, 33, 37]","[0.6131448745727539, 0.5644025802612305, 0.5375422239303589]",squad
sparse,What was the domain name of the site that streamed the Super Bowl 50 game? ,['CBSSports.com'],cbs,0.0,0.0,0,0.0027982999999949243,0.6971710000000257,0.6999693000000207,"[0, 3, 29]","[1.0, 0.9634135461737978, 0.9066003183428338]",squad
hybrid,What was the domain name of the site that streamed the Super Bowl 50 game? ,['CBSSports.com'],cbs,0.0,0.0,0,0.010457299999870884,0.6270273000000088,0.6374845999998797,"[0, 3, 37]","[0.03278688524590164, 0.03128054740957967, 0.031024531024531024]",squad
dense,Who served his dinner?,"['headwaiter', 'the headwaiter']",headwaiter,1.0,1.0,1,0.007497199999988879,0.7343812999999955,0.7418784999999843,"[244, 435, 399]","[0.3752385377883911, 0.2992938756942749, 0.29916268587112427]",squad
sparse,Who served his dinner?,"['headwaiter', 'the headwaiter']",headwaiter,1.0,1.0,1,0.0009165999999822816,0.5999415999999655,0.6008581999999478,"[244, 254, 135]","[1.0, 0.571175387640654, 0.5489450870811455]",squad
hybrid,Who served his dinner?,"['headwaiter', 'the headwaiter']",headwaiter,1.0,1.0,1,0.010680399999955625,0.7883494999998675,0.7990298999998231,"[244, 435, 254]","[0.03278688524590164, 0.016129032258064516, 0.016129032258064516]",squad
dense,How many seconds were left in the game when the Patriots failed their 2-point conversion?,['17'],17,1.0,1.0,1,0.00961050000000796,0.7206243000000541,0.730234800000062,"[57, 20, 56]","[0.6132023334503174, 0.6119101047515869, 0.5763680934906006]",squad
sparse,How many seconds were left in the game when the Patriots failed their 2-point conversion?,['17'],17,1.0,1.0,1,0.0025524999998651765,0.7474983000001885,0.7500508000000536,"[20, 57, 1]","[1.0, 0.630133005887989, 0.5215461643403098]",squad
hybrid,How many seconds were left in the game when the Patriots failed their 2-point conversion?,['17'],17,1.0,1.0,1,0.01572149999992689,0.663896799999975,0.6796182999999019,"[57, 20, 56]","[0.03252247488101534, 0.03252247488101534, 0.015873015873015872]",squad
dense,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?","['music', 'major record companies']",music,1.0,1.0,1,0.009305000000040309,0.5247509999999238,0.5340559999999641,"[503, 522, 525]","[0.7180079221725464, 0.5722519755363464, 0.5546965599060059]",squad
